candidate_id,latent_row,window_id,chrom,start,end,center,length_bp,segments,sample_id,condition,replicate,known_overlap,known_structure_ids,known_types,valid_pixel_fraction,intensity_score,reconstruction_error,candidate_threshold,is_candidate,score_rank,is_known_reference,is_background_reference,known_reference_ids,known_reference_types,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,independent_locus_id,nearest_known_window_id,nearest_known_ids,nearest_known_types,nearest_known_pca_distance,rep2_window_id,replicate_correlation,reproducibility_status
candidate_001,117,WT_rep1__scan_0117000,NC_000913.3,105000,129000,117000,24000,"[{""start"":105000,""end"":129000}]",WT_rep1,WT,1,True,OPCID_3;OPCID_4,OPCID,1.0,0.094828257010795,0.058103867,0.0531527660787105,True,29,False,False,,,-1.1134635358096596,-0.4391642679391989,4.0726445556432616,-0.7679262204238931,-1.0187564404305083,3.325690481940718,1.2439868461465295,-1.9144557677546872,-0.3255073727944724,1.2861033835353641,-1,NC_000913.3:locus_0001,WT_rep1__scan_3875000,CHIN_218,CHIN,4.440507613181317,,,pending_P09
candidate_002,118,WT_rep1__scan_0118000,NC_000913.3,106000,130000,118000,24000,"[{""start"":106000,""end"":130000}]",WT_rep1,WT,1,True,OPCID_3;OPCID_4,OPCID,1.0,0.094992997563987,0.05901493,0.0531527660787105,True,24,False,False,,,-1.3898974373344333,0.11149713225643845,3.179864918848137,0.38915811737894723,-1.6624382848221524,3.9920068274322267,2.0258381277557387,-0.8508398209324439,-1.2542395105444473,1.2428410991709353,-1,NC_000913.3:locus_0001,WT_rep1__scan_4476000,CHIN_236,CHIN,4.423853318448377,,,pending_P09
candidate_003,1295,WT_rep1__scan_1295000,NC_000913.3,1283000,1307000,1295000,24000,"[{""start"":1283000,""end"":1307000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.0988842142906407,0.053798914,0.0531527660787105,True,44,False,False,,,-1.921426760473519,2.664420492380195,1.2921559644148215,0.06110177483139068,1.2296008800547897,-0.5184570917552676,1.0762876710842018,-0.43347438349809264,-1.7330024850060595,-2.0084772560643764,0,NC_000913.3:locus_0002,WT_rep1__scan_1216000,CHIN_71,CHIN,3.419762016784112,,,pending_P09
candidate_004,1296,WT_rep1__scan_1296000,NC_000913.3,1284000,1308000,1296000,24000,"[{""start"":1284000,""end"":1308000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.1017632181158008,0.06765985,0.0531527660787105,True,9,False,False,,,-1.97051429199859,2.2138852755437153,1.7905183674007552,0.805180976522069,0.7356128378428627,-1.0009960858009015,0.8382447537239871,0.06611786634902006,-0.12734484620051512,1.0340723302654669,0,NC_000913.3:locus_0002,WT_rep1__scan_3042000,OPCID_51,OPCID,2.5685507124939413,,,pending_P09
candidate_005,1297,WT_rep1__scan_1297000,NC_000913.3,1285000,1309000,1297000,24000,"[{""start"":1285000,""end"":1309000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.92340087890625,0.1030657422884263,0.065054305,0.0531527660787105,True,11,False,False,,,-2.358091893521294,2.0483792082277614,0.9518850640719883,0.9617418264195354,0.07736107613833056,-1.3345867798447806,-0.48662091414959824,0.599230205434987,0.4183208191549585,2.265116850063136,0,NC_000913.3:locus_0002,WT_rep1__scan_3042000,OPCID_51,OPCID,2.6763727923187273,,,pending_P09
candidate_006,1298,WT_rep1__scan_1298000,NC_000913.3,1286000,1310000,1298000,24000,"[{""start"":1286000,""end"":1310000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.1037469232084983,0.07342708,0.0531527660787105,True,2,False,False,,,-2.443173964927488,1.2035684495958596,0.2783108074294692,0.3071915087956156,-0.17392401700705556,-0.023595093908860873,-1.8042772681728958,0.7519899298026306,1.2545735749243945,2.7338747854234486,0,NC_000913.3:locus_0002,WT_rep1__scan_0193000,OPCID_6,OPCID,2.9117640393725766,,,pending_P09
candidate_007,1299,WT_rep1__scan_1299000,NC_000913.3,1287000,1311000,1299000,24000,"[{""start"":1287000,""end"":1311000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.1050009387564914,0.08371421,0.0531527660787105,True,1,False,False,,,-2.5615943536838035,0.20769803672985096,-0.32491495928028874,-1.8000368201983823,-0.8839503482230052,1.5662316618017562,-2.008829039969387,-0.12358078643492273,2.9894673660085163,0.3132503243808823,-1,NC_000913.3:locus_0002,WT_rep1__scan_1804000,CHIN_103,CHIN,3.874602564255143,,,pending_P09
candidate_008,1300,WT_rep1__scan_1300000,NC_000913.3,1288000,1312000,1300000,24000,"[{""start"":1288000,""end"":1312000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.92340087890625,0.1052584156488074,0.06823051,0.0531527660787105,True,8,False,False,,,-2.934831386222352,-0.3571629436171232,-1.2738612437951444,-2.8735287722051934,-1.0738304089555137,1.5908933953918554,-0.2372649677074195,-0.09274891671221233,2.9882817461328086,-0.13088894664485842,-1,NC_000913.3:locus_0002,WT_rep1__scan_1804000,CHIN_103,CHIN,3.9974079313418107,,,pending_P09
candidate_009,1301,WT_rep1__scan_1301000,NC_000913.3,1289000,1313000,1301000,24000,"[{""start"":1289000,""end"":1313000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.1048776587961163,0.05391536,0.0531527660787105,True,43,False,False,,,-3.0972719862445426,-0.9064152805697363,-1.8789267064394568,-3.081209992966075,-0.6345419415349678,1.732405053820796,2.225419521262939,0.17277172543101574,1.0720948153158125,0.18810680829673654,-1,NC_000913.3:locus_0002,WT_rep1__scan_3054000,CHIN_169,CHIN,3.7168109296582004,,,pending_P09
candidate_010,1302,WT_rep1__scan_1302000,NC_000913.3,1290000,1314000,1302000,24000,"[{""start"":1290000,""end"":1314000}]",WT_rep1,WT,1,True,OPCID_23,OPCID,0.9383544921875,0.1041051250896415,0.053649146,0.0531527660787105,True,46,False,False,,,-2.9809775146251507,-1.2891630299312868,-2.1736554616070864,-1.0860173264976445,-0.45562170300791577,1.3464671379544293,4.4949128724144485,-0.32829331570643633,-1.9611428841871563,0.10944985412117045,-1,NC_000913.3:locus_0002,WT_rep1__scan_1303000,OPCID_23,OPCID,3.7842689180294924,,,pending_P09
candidate_011,1303,WT_rep1__scan_1303000,NC_000913.3,1291000,1315000,1303000,24000,"[{""start"":1291000,""end"":1315000}]",WT_rep1,WT,1,True,OPCID_23;CHIN_77,CHIN;OPCID,0.92340087890625,0.1032693550359505,0.058928005,0.0531527660787105,True,25,True,False,OPCID_23,OPCID,-2.737790679757809,-1.883093164664583,-1.7438826326451868,0.29542510882472334,-1.0467091638902755,-1.3237152976207147,3.155863531226524,-1.607966972813067,-1.0446127510364585,0.3659778219445998,-1,NC_000913.3:locus_0002,WT_rep1__scan_1303000,OPCID_23,OPCID,0.0,,,pending_P09
