structure_id,type,chrom,start,end,center,length_bp,condition,wt_rep1,wt_rep2,wt_mean,mutant_rep1,mutant_rep2,mutant_mean,log2_fc,rep1_log2_fc,rep2_log2_fc,wt_rep_log2_ratio,reference_band,replicate_direction_agreement,effect_label,valid_pair_count,valid_weight_fraction,roi_weight_sum,oe_mean_abs_difference,status
OPCID_1,OPCID,NC_000913.3,49660,59940,54800,10280,DstpA,0.14355853096742954,0.1461336597826909,0.1448460953750602,0.2171723953581357,0.2082012635153052,0.21268682943672046,0.5542099033245822,0.5843199404528687,0.5234580296619078,0.02564945516823809,0.32192809488736235,True,increase_consistent,5356,1.0,5232.76,0.2525059260834695,ok
OPCID_1,OPCID,NC_000913.3,49660,59940,54800,10280,DhnsDstpA,0.14355853096742954,0.1461336597826909,0.1448460953750602,0.17129623612969622,0.15863444613624023,0.16496534113296824,0.18764215483534147,0.24197265730126902,0.1311852798420263,0.02564945516823809,0.32192809488736235,True,within_reference,5356,1.0,5232.76,0.22300147848322646,ok
OPCID_2,OPCID,NC_000913.3,87820,93270,90545,5450,DstpA,0.33628132508253716,0.3455220884619159,0.34090170677222653,0.44270825828627114,0.43050153043333733,0.4366048943598042,0.3569724805422543,0.3770004631899222,0.33666254386234906,0.03910927884175212,0.32192809488736235,True,increase_consistent,1485,1.0,1458.06,0.25770636744980135,ok
OPCID_2,OPCID,NC_000913.3,87820,93270,90545,5450,DhnsDstpA,0.33628132508253716,0.3455220884619159,0.34090170677222653,0.31975820989367676,0.29487863674123244,0.3073184233174546,-0.14962156544117272,-0.09237442131489046,-0.20923451620398448,0.03910927884175212,0.32192809488736235,True,within_reference,1485,1.0,1458.06,0.5193946883996335,ok
OPCID_3,OPCID,NC_000913.3,106140,108980,107560,2840,DstpA,0.7785228098322744,0.8146864982682444,0.7966046540502594,1.109760281567466,1.0248018899427989,1.0672810857551325,0.4220043697223805,0.4783122612429547,0.3634092278357697,0.0655056894771564,0.32192809488736235,True,increase_consistent,406,1.0,389.28000000000003,0.14516583314029732,ok
OPCID_3,OPCID,NC_000913.3,106140,108980,107560,2840,DhnsDstpA,0.7785228098322744,0.8146864982682444,0.7966046540502594,0.665320837671956,0.6076505602901265,0.6364856989810412,-0.3237358094890106,-0.2598136892156599,-0.39062199247172236,0.0655056894771564,0.32192809488736235,True,inconsistent_or_borderline,406,1.0,389.28000000000003,0.6478041375452308,ok
OPCID_4,OPCID,NC_000913.3,121910,129450,125680,7540,DstpA,0.35264262137591756,0.3258969910836003,0.33926980622975894,0.6255345514946719,0.40028071365414497,0.5129076325744084,0.5962659990215794,0.882656532881844,0.23857906420679087,-0.11379082122839015,0.32192809488736235,True,inconsistent_or_borderline,2850,1.0,2805.05,0.24775639277556663,ok
OPCID_4,OPCID,NC_000913.3,121910,129450,125680,7540,DhnsDstpA,0.35264262137591756,0.3258969910836003,0.33926980622975894,0.24784085265264172,0.22758463511834084,0.2377127438854913,-0.5132137923130449,-0.45301902860092685,-0.5760298806725288,-0.11379082122839015,0.32192809488736235,True,decrease_consistent,2850,1.0,2805.05,1.0225527420447913,ok
OPCID_5,OPCID,NC_000913.3,182460,184370,183415,1910,DstpA,0.7918472463540132,0.9125078312539535,0.8521775388039834,0.8468784269103439,0.861550390233398,0.8542144085718709,0.0034442067231587213,-0.008999147047313668,0.015781152747696547,0.20461479054712012,0.32192809488736235,False,within_reference,190,1.0,173.07999999999998,0.6277544152417652,ok
OPCID_5,OPCID,NC_000913.3,182460,184370,183415,1910,DhnsDstpA,0.7918472463540132,0.9125078312539535,0.8521775388039834,0.7145178255518313,0.6417903200471837,0.6781540727995075,-0.32954094348899987,-0.25418402266347306,-0.40905199630911265,0.20461479054712012,0.32192809488736235,True,inconsistent_or_borderline,190,1.0,173.07999999999998,0.7205879024074756,ok
OPCID_6,OPCID,NC_000913.3,192730,193950,193340,1220,DstpA,1.274133936323383,1.3191171269007924,1.2966255316120878,2.040647488894426,1.920249076429714,1.9804482826620702,0.6110651411101065,0.6542650997735692,0.5665315695999597,0.050055728945748466,0.32192809488736235,True,increase_consistent,78,1.0,68.55,0.10882989865155004,ok
OPCID_6,OPCID,NC_000913.3,192730,193950,193340,1220,DhnsDstpA,1.274133936323383,1.3191171269007924,1.2966255316120878,1.5172104279325227,1.3358203714239982,1.4265153996782605,0.1377334351957061,0.2266593064094768,0.042964134626265964,0.050055728945748466,0.32192809488736235,True,within_reference,78,1.0,68.55,0.1764113001262175,ok
OPCID_7,OPCID,NC_000913.3,194470,198740,196605,4270,DstpA,0.34813743453951923,0.3482001453424479,0.34816878994098355,0.6081526519200917,0.5429852801978822,0.5755689660589869,0.7252019211707601,0.8046466141390887,0.6411262037654476,0.00025985259809001147,0.32192809488736235,True,increase_consistent,946,1.0,890.52,0.3466699819386131,ok
OPCID_7,OPCID,NC_000913.3,194470,198740,196605,4270,DhnsDstpA,0.34813743453951923,0.3482001453424479,0.34816878994098355,0.38886837493594384,0.3613748839234011,0.3751216294296725,0.10757156613588029,0.1594950263575153,0.05370935556001131,0.00025985259809001147,0.32192809488736235,True,within_reference,946,1.0,890.52,0.21517771854685627,ok
OPCID_8,OPCID,NC_000913.3,199310,201910,200610,2600,DstpA,0.6562397037000641,0.6650653376784799,0.6606525206892719,1.0064208416335896,0.9301570252255794,0.9682889334295846,0.5515459401514574,0.6072701329689153,0.4935826206859051,0.019273199356993592,0.32192809488736235,True,increase_consistent,351,1.0,325.09000000000003,0.16343777590475092,ok
